City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
95,mbanza-ngungu,-5.25,14.8667,72.86,78,32,3.8,CD
96,fort st. john,56.2499,-120.8529,63.18,46,54,4.43,CA
97,nadi,-17.8,177.4167,78.8,73,75,6.91,FJ
98,carnarvon,-24.8667,113.6333,67.3,78,0,13.62,AU
99,al marsa,36.8782,10.3247,69.69,78,20,5.75,TN
100,mahibadhoo,3.7833,72.9667,83.64,79,100,16.26,MV
101,burley,42.5357,-113.7928,64.36,42,20,21.85,US
102,belmonte,-15.8631,-38.8828,76.08,82,13,6.69,BR
103,isafjordur,66.0755,-23.124,50.36,67,11,3.38,IS
104,anadyr,64.75,177.4833,36.1,74,0,15.66,RU
105,vaskelovo,60.3693,30.3534,59.67,91,87,2.59,RU
106,ancud,-41.8697,-73.8203,45.99,74,99,10.6,CL
107,mokhsogollokh,61.4681,128.9203,49.23,65,17,2.26,RU
108,yreka,41.7354,-122.6345,70.36,31,0,5.75,US
109,dar chioukh,34.8964,3.4854,71.15,34,0,9.78,DZ
110,acapulco de juarez,16.8634,-99.8901,87.62,66,0,11.5,MX
111,kuala belait,4.5833,114.1833,78.94,89,100,3.11,BN
112,aral,40.5156,81.2636,76.68,31,100,6.78,CN
113,rengasdengklok,-6.1592,107.2981,77.2,86,94,5.12,ID
114,petropavlovsk-kamchatsky,53.0452,158.6483,41.59,75,100,6.71,RU
115,invercargill,-46.4,168.35,46.02,70,100,23.0,NZ
116,cururupu,-1.8283,-44.8683,77.68,89,36,1.79,BR
117,hithadhoo,-0.6,73.0833,83.07,78,100,7.58,MV
118,duba,27.3513,35.6901,82.36,47,0,10.54,SA
119,broome,42.2506,-75.833,80.71,70,100,19.57,US
120,badger,64.8,-147.5333,48.11,85,75,8.05,US
121,colonia,50.9333,6.95,61.45,85,0,1.14,DE
122,sao jose de ribamar,-2.5619,-44.0542,80.98,79,76,12.06,BR
123,touros,-5.1989,-35.4608,77.07,91,51,11.41,BR
124,cabedelo,-6.9811,-34.8339,79.47,80,10,14.76,BR
125,puerto ayora,-0.7393,-90.3518,80.56,76,82,8.14,EC
126,olyokminsk,60.3736,120.4264,53.42,83,34,3.91,RU
127,pundong,-7.9522,110.3486,75.81,89,24,5.93,ID
128,lake city,30.1897,-82.6393,90.7,52,40,9.22,US
129,muisne,0.6,-80.0333,80.64,83,82,8.03,EC
130,port elizabeth,-33.918,25.5701,60.31,95,34,1.99,ZA
131,sparti,37.0733,22.4297,66.96,72,41,2.71,GR
132,cacador,-26.7753,-51.015,46.0,88,100,3.11,BR
133,visby,57.6409,18.296,59.83,82,21,11.5,SE
134,lata,40.1629,-8.3327,58.14,85,79,2.3,PT
135,enewetak,11.3474,162.3373,82.29,84,100,18.03,MH
136,happy valley-goose bay,53.3168,-60.3315,43.11,81,100,13.8,CA
137,tazacorte,28.629,-17.9293,68.97,90,0,10.36,ES
138,avarua,-21.2078,-159.775,78.85,94,75,5.75,CK
139,cidreira,-30.1811,-50.2056,54.9,77,92,11.39,BR
140,ust-nera,64.5667,143.2,45.93,67,13,1.83,RU
141,ilulissat,69.2167,-51.1,33.82,75,10,4.61,GL
142,ngereklmadel,7.4883,134.4856,81.93,83,95,9.69,PW
143,chakulia,22.4833,86.7167,86.56,67,100,4.45,IN
144,wewak,-3.5534,143.6268,80.4,87,100,5.61,PG
145,cadale,2.7603,46.3222,80.92,82,100,18.63,SO
146,polevskoy,56.4422,60.1878,52.57,95,100,9.95,RU
147,forster,-32.1667,152.5167,56.48,89,64,3.91,AU
148,mount gambier,-37.8333,140.7667,40.33,85,5,5.55,AU
149,geraldton,-28.7667,114.6,55.81,94,0,9.22,AU
150,fuglafjordur,62.244,-6.814,50.47,98,100,14.65,FO
151,khairagarh,26.95,77.8167,95.95,20,1,5.17,IN
152,west island,-12.1568,96.8225,78.78,94,75,14.97,CC
153,kapuskasing,49.4169,-82.4331,51.89,87,100,12.66,CA
154,constantia,44.1833,28.65,56.08,77,22,13.69,RO
155,cabo san lucas,22.8909,-109.9124,95.61,29,0,9.22,MX
156,el tigre,8.8875,-64.2454,92.8,40,98,8.88,VE
157,labrador city,52.9463,-66.9114,39.18,71,100,18.99,CA
158,nagqu,31.5,92.0,43.21,66,96,5.01,CN
159,ta`u,-14.2336,-169.5144,83.64,75,100,11.59,AS
160,fortuna,40.5982,-124.1573,61.93,65,100,13.8,US
161,kerikeri,-35.2268,173.9474,58.91,88,82,8.01,NZ
162,talnakh,69.4865,88.3972,28.2,93,100,18.25,RU
163,namdrik,5.5994,168.1028,83.68,80,47,16.69,MH
164,choibalsan,48.0667,114.5,48.04,70,99,10.63,MN
165,turpan,42.9333,89.1667,85.73,24,100,1.23,CN
166,iskateley,67.6803,53.1512,30.02,79,100,20.0,RU
167,chonchi,-42.6128,-73.8092,47.41,80,100,1.95,CL
168,greeley,40.4233,-104.7091,77.34,31,40,14.97,US
169,yebaishou,41.3975,119.6408,56.21,92,99,8.3,CN
170,hammerfest,70.6634,23.6821,39.65,87,100,9.22,NO
171,luderitz,-26.6481,15.1594,60.08,67,5,11.45,NA
172,whitehorse,60.7161,-135.0538,58.01,36,97,13.0,CA
173,hongch'on,37.6918,127.8857,55.22,78,100,2.62,KR
174,kalmunai,7.4167,81.8167,80.67,81,100,14.0,LK
175,ujae,8.9322,165.7642,83.03,82,85,17.43,MH
176,tura,25.5198,90.2201,78.84,85,88,6.93,IN
177,altai,46.3722,96.2583,54.88,23,100,7.29,MN
178,nogliki,51.8333,143.1667,32.34,94,100,5.99,RU
179,vorgashor,67.5833,63.95,27.81,96,99,15.93,RU
180,mil'kovo,55.6078,37.7956,59.14,51,5,6.58,RU
181,pont rouge,48.8833,-72.0825,62.29,40,23,3.11,CA
182,iqaluit,63.7506,-68.5145,32.7,69,97,11.01,CA
183,tamanrasset,22.785,5.5228,89.51,8,0,4.61,DZ
184,naberera,-4.2,36.9333,61.65,89,82,9.78,TZ
185,minas de marcona,-15.2119,-75.1103,61.14,67,0,18.23,PE
186,portland,45.5234,-122.6762,63.21,63,75,5.75,US
187,trairi,-3.2778,-39.2689,79.18,85,74,8.9,BR
188,skanor med falsterbo,55.4,12.85,57.97,93,38,11.32,SE
189,el sauzal de rodriguez,31.9,-116.6833,62.38,68,1,14.9,MX
190,recani,31.2846,-4.2688,86.14,12,53,10.4,MA
191,island harbour,50.724,-1.2758,58.93,82,100,5.01,GB
192,alghero,40.5589,8.3181,60.89,88,0,5.03,IT
193,arar,30.9753,41.0381,77.02,23,0,6.91,SA
194,andovoranto,-18.95,49.1,67.73,86,35,5.5,MG
195,partur,19.6,76.2167,91.85,36,99,14.32,IN
196,lihue,21.9789,-159.3672,81.64,72,100,12.66,US
197,amursk,50.2261,136.8994,37.98,57,56,9.6,RU
198,weno,7.4515,151.8468,83.57,82,84,17.11,FM
199,holualoa,19.6228,-155.9522,76.84,84,40,10.36,US
200,amahai,-3.3333,128.9167,85.19,89,100,2.64,ID
201,badiyah,22.45,58.8,86.18,36,15,6.44,OM
202,sirte,31.2089,16.5887,70.11,84,62,16.22,LY
203,brisas de zicatela,15.8369,-97.0419,88.32,79,40,9.22,MX
204,odacho-oda,35.1833,132.5,60.84,64,73,9.44,JP
205,saipan,15.1355,145.701,81.3,83,0,3.44,MP
206,college,64.8569,-147.8028,48.18,87,100,8.05,US
207,mitsamiouli,-11.3847,43.2844,79.27,66,2,6.17,KM
208,zinjibar,13.1287,45.3807,89.83,52,3,2.77,YE
209,mogocha,53.7333,119.7667,45.41,84,21,3.27,RU
210,nova vicosa,-17.8919,-39.3719,76.12,80,100,7.0,BR
211,hauterive,46.0901,3.4459,63.36,77,99,2.39,FR
212,kaka,37.3482,59.6143,71.64,35,0,6.6,TM
213,utrik,11.2278,169.8474,81.75,83,63,16.31,MH
214,hamilton,39.1834,-84.5333,83.64,63,75,6.91,US
215,nouadhibou,20.931,-17.0347,67.98,73,100,17.27,MR
216,tsiombe,-25.3,45.4833,66.51,95,0,5.26,MG
217,kurumkan,54.3,110.3,51.13,36,1,1.01,RU
218,shahrisabz,39.0578,66.8342,63.27,52,0,5.93,UZ
219,mahdia,35.5047,11.0622,71.55,67,6,3.13,TN
220,klyuchi,52.2667,79.1667,42.55,95,100,7.11,RU
221,saiha,22.4833,92.9667,74.37,98,100,2.86,IN
222,sandnessjoen,66.0217,12.6316,57.72,55,100,11.01,NO
223,pascagoula,30.3658,-88.5561,90.52,58,0,5.75,US
224,zheleznogorsk-ilimskiy,56.5768,104.1217,53.37,68,100,3.0,RU
225,kijang,35.2442,129.2139,56.93,77,99,5.46,KR
226,colby,39.3958,-101.0524,85.03,26,0,18.01,US
227,aberystwyth,52.4155,-4.0829,52.9,86,100,7.0,GB
228,ceerigaabo,10.6162,47.368,73.74,30,10,3.53,SO
229,tazovsky,67.4667,78.7,23.45,97,100,7.0,RU
230,saldanha,-33.0117,17.9442,57.99,92,0,11.36,ZA
231,san julian,21.0167,-102.1667,94.17,11,1,9.57,MX
232,kununurra,-15.7667,128.7333,66.18,88,0,2.3,AU
233,ausa,41.9271,2.2497,62.35,83,4,2.42,ES
234,retreat,38.8245,-85.8533,80.33,76,94,6.62,US
235,liwale,-9.7667,37.9333,66.92,75,72,3.69,TZ
236,dryden,49.7833,-92.7503,44.89,93,100,17.27,CA
237,mastic beach,40.7668,-72.8521,75.49,68,0,5.75,US
238,corner brook,48.9667,-57.9484,42.96,96,100,4.74,CA
239,rye,40.9807,-73.6837,82.96,54,0,8.05,US
